year,count,count_log,count_sqrt
860,1,0.6931471805599453,1
920,1,0.6931471805599453,1
1399,1,0.6931471805599453,1
1490,1,0.6931471805599453,1
1491,1,0.6931471805599453,1
1495,1,0.6931471805599453,1
1519,1,0.6931471805599453,1
1575,1,0.6931471805599453,1
1583,1,0.6931471805599453,1
1600,1,0.6931471805599453,1
1621,1,0.6931471805599453,1
1623,1,0.6931471805599453,1
1628,1,0.6931471805599453,1
1632,1,0.6931471805599453,1
1636,1,0.6931471805599453,1
1637,1,0.6931471805599453,1
1647,1,0.6931471805599453,1
1654,1,0.6931471805599453,1
1662,1,0.6931471805599453,1
1668,1,0.6931471805599453,1
1671,1,0.6931471805599453,1
1688,1,0.6931471805599453,1
1704,1,0.6931471805599453,1
1715,1,0.6931471805599453,1
1716,1,0.6931471805599453,1
1723,1,0.6931471805599453,1
1724,1,0.6931471805599453,1
1740,1,0.6931471805599453,1
1741,1,0.6931471805599453,1
1749,1,0.6931471805599453,1
1750,1,0.6931471805599453,1
1751,1,0.6931471805599453,1
1753,2,1.0986122886681098,1.4142135623730951
1766,1,0.6931471805599453,1
1768,2,1.0986122886681098,1.4142135623730951
1769,1,0.6931471805599453,1
1773,1,0.6931471805599453,1
1775,2,1.0986122886681098,1.4142135623730951
1776,1,0.6931471805599453,1
1779,1,0.6931471805599453,1
1781,1,0.6931471805599453,1
1784,2,1.0986122886681098,1.4142135623730951
1785,1,0.6931471805599453,1
1787,1,0.6931471805599453,1
1790,1,0.6931471805599453,1
1791,1,0.6931471805599453,1
1792,1,0.6931471805599453,1
1793,1,0.6931471805599453,1
1794,1,0.6931471805599453,1
1795,2,1.0986122886681098,1.4142135623730951
1796,2,1.0986122886681098,1.4142135623730951
1797,1,0.6931471805599453,1
1798,2,1.0986122886681098,1.4142135623730951
1801,1,0.6931471805599453,1
1803,3,1.3862943611198906,1.7320508075688772
1804,6,1.9459101490553132,2.449489742783178
1805,3,1.3862943611198906,1.7320508075688772
1806,1,0.6931471805599453,1
1807,2,1.0986122886681098,1.4142135623730951
1808,5,1.791759469228055,2.236067977
1809,1,0.6931471805599453,1
1810,5,1.791759469228055,2.236067977
1811,3,1.3862943611198906,1.7320508075688772
1812,4,1.6094379124341003,2
1813,2,1.0986122886681098,1.4142135623730951
1814,5,1.791759469228055,2.236067977
1815,2,1.0986122886681098,1.4142135623730951
1817,1,0.6931471805599453,1
1818,5,1.791759469228055,2.236067977
1819,3,1.3862943611198906,1.7320508075688772
1820,1,0.6931471805599453,1
1821,1,0.6931471805599453,1
1822,8,2.1972245773362196,2.8284271247461903
1823,2,1.0986122886681098,1.4142135623730951
1824,3,1.3862943611198906,1.7320508075688772
1825,3,1.3862943611198906,1.7320508075688772
1826,3,1.3862943611198906,1.7320508075688772
1827,3,1.3862943611198906,1.7320508075688772
1828,2,1.0986122886681098,1.4142135623730951
1829,4,1.6094379124341003,2
1830,2,1.0986122886681098,1.4142135623730951
1831,2,1.0986122886681098,1.4142135623730951
1832,1,0.6931471805599453,1
1833,1,0.6931471805599453,1
1834,3,1.3862943611198906,1.7320508075688772
1835,2,1.0986122886681098,1.4142135623730951
1836,5,1.791759469228055,2.236067977
1837,5,1.791759469228055,2.236067977
1838,7,2.0794415416798357,2.6457513110645907
1839,5,1.791759469228055,2.236067977
1840,7,2.0794415416798357,2.6457513110645907
1841,4,1.6094379124341003,2
1842,5,1.791759469228055,2.236067977
1843,7,2.0794415416798357,2.6457513110645907
1844,4,1.6094379124341003,2
